Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Gene	Type	Beta	SE	P	Details
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg27268279	chr10:71672083	COL13A1	Open sea	0.007	0.001	2.67e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg00433296	chr8:22223852	SLC39A14	North shore	0.008	0.001	2.75e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg22481770	chr3:156324118		Open sea	0.006	0.001	1.57e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg27619353	chr22:38071651	LGALS1	North shore	0.006	0.001	1.18e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg25879142	chr7:4671391		Open sea	0.009	0.002	6.91e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg04872675	chr12:108983234		Open sea	-0.01	0.002	5.68e-12	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg03814093	chr4:154410006	KIAA0922	Open sea	-0.008	0.002	6.74e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg10841124	chr5:433274	AHRR	Open sea	0.004	0.001	9.44e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg07506749	chr16:54228447		Island	0.007	0.001	6.26e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg17242664	chr4:5710761	EVC2	South shore	0.007	0.001	3.38e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg08979515	chr3:111697575	ABHD10	North shore	0.016	0.003	2.71e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg26811385	chr4:150832003		Open sea	0.01	0.002	2.36e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg27597505	chr12:54148217		South shelf	0.014	0.002	4.16e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg01878708	chr2:227555410		Open sea	0.014	0.002	4.82e-10	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg17199018	chr8:28206278	ZNF395	Open sea	-0.009	0.002	2.61e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg24373187	chr1:54666401	CYB5RL;MRPL37	South shore	-0.005	0.001	1.13e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg04478905	chr21:37915091	CLDN14	Open sea	-0.007	0.001	2.94e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg09523275	chr6:28227093	NKAPL	Island	0.008	0.001	8.84e-10	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg07167185	chr1:24120017	LYPLA2	South shelf	-0.004	0.001	1.89e-10	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg22572362	chr5:501938	SLC9A3	Island	-0.011	0.002	1.21e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg06635952	chr2:70025869	ANXA4	Open sea	0.009	0.002	1.17e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg17892069	chr7:70061616	AUTS2	South shore	-0.006	0.001	9.53e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg08327744	chr8:33423298	RNF122	North shore	-0.008	0.001	7.63e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg22441770	chr1:153929592	CRTC2	North shore	-0.009	0.002	1.16e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg18178840	chr5:81702289		Open sea	0.01	0.002	3.09e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg18040788	chr5:173852421		Open sea	-0.008	0.001	1.12e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg13928411	chr16:22103791	VWA3A	Open sea	0.006	0.001	7.5e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg18780100	chr17:78682785	RPTOR	Open sea	0.009	0.002	4.41e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg19648306	chr2:179184854	OSBPL6	Open sea	0.01	0.002	2.16e-10	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg25426302	chr6:32120826	PPT2;PRRT1	North shore	0.014	0.003	4.73e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg12444861	chr6:144386275	PLAGL1	South shore	0.006	0.001	5.82e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg25122233	chr12:54412506	HOXC4;HOXC5;HOXC6	North shore	0.011	0.002	1.89e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg09677268	chr19:58556044	ZSCAN1	Island	0.01	0.002	7.13e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg26675395	chr16:31159623	PRSS36	Island	0.01	0.002	1.18e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg22500876	chr7:45187902		Open sea	0.009	0.002	2.12e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg05460226	chr17:8804279	PIK3R5	Open sea	-0.007	0.001	9.54e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg12443001	chr1:2467281		South shore	0.007	0.001	1.69e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg23058037	chr7:158824108	VIPR2	Island	0.012	0.002	8.04e-10	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg24533564	chr2:219155468	PNKD;TMBIM1	North shore	-0.005	0.001	7.5e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg20643029	chr21:37915044	CLDN14	Open sea	-0.007	0.001	2.86e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg24910943	chr10:11206320	CUGBP2	North shore	-0.003	0.001	3.76e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg00937681	chr4:77723304		Island	0.011	0.002	5.72e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg23553912	chr3:159558031	SCHIP1	Open sea	0.014	0.003	2.15e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg12756718	chr4:2047292		North shore	-0.004	0.001	5.38e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg13891539	chr12:30322730		North shore	0.012	0.002	5.09e-10	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg07810039	chr1:218524558	TGFB2	Open sea	0.013	0.002	1.19e-10	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg17656608	chr5:139486020		North shore	0.007	0.001	5.54e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg17074704	chr1:92350430	TGFBR3	North shore	-0.005	0.001	2.74e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg10993442	chr1:25257587	RUNX3	Island	-0.006	0.001	7.75e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg15836046	chr1:2767242		Open sea	0.005	0.001	2.22e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg07413467	chr7:92238086	CDK6	Open sea	0.007	0.001	3.84e-08	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg07831277	chr10:23003984	PIP4K2A	South shore	0.007	0.001	5.54e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg13123009	chr6:31681882	LY6G6E;LY6G6D	Open sea	-0.005	0.001	9.58e-09	
Joubert BR	PACE	27040690	2016-04-07	Maternal smoking in pregnancy	EFO_0006527, EFO_0005671, EFO_0004318, EFO_0002950	Any maternal smoking in pregnancy effect on newborns	Table S3	DNA methylation	Maternal smoking in pregnancy	Maternal age, maternal education, parity and technical covariates	Beta values		Illumina HumanMethylation450	Cord blood	6685	13	1646 newborns exposed to any maternal smoking in pregnancy, 5039 newborns of non-smokers	0			5944	25		248	418	50	cg05625471	chr16:31342748	ITGAM	Island	-0.005	0.001	1.37e-08	
